Descricao;Preco;;
NESFIT NESTLE CACAU CEREAIS 120G;2,10;44,00;7891000109861
NUTELLA FERRERO 140G;8,15;5,00;7898024395232
NUTELLA FERRERO 350G;16,48;1,00;7898024394181
OVO DE PASCOA ARCOR PATATI PATATA COPO 120G;25,20;2,00;7898142860476
OVO DE PASCOA ARCOR TORTUGUITA MALETA 100G;29,30;2,00;7898142860414
OVO DE PASCOA ARCOR TORTUGUITA MENINOS 150G;21,55;2,00;7898142860445
OVO DE PASCOA ARCOR TORTUGUITA PELUCIA 150G;31,20;2,00;7898142860452
OVO DE PASCOA DIVERSOS;34,48;5,00;7898142861183
OVO DE PASCOA GAROTO CROCANTE 215G;25,30;4,00;7891008166354
OVO DE PASCOA GAROTO JOLIE 150G;38,90;4,00;7891008113389
OVO DE PASCOA GAROTO O BOM DINOSSAURO 150G;38,90;2,00;7891008124903
OVO DE PASCOA GAROTO SERENATA DE AMOR 220G;28,99;2,00;7891008165500
OVO DE PASCOA GAROTO TALENTO AVELAS 375G;44,60;2,00;7891008151107
OVO DE PASCOA GAROTO TALENTO CASTA.DO PARA 375G;44,60;2,00;7891008151305
PANETTONE NESTLE CLASSIC C/GOTAS DE CHOCO. 400G;15,80;1,00;7891000079270
PASTILHA DOCILE MINTY MENTA;0,50;12,00;7896451900029
PASTILHA GAROTO HORTELA C/10UN 17G;0,50;81,00;78910041
PIPOCA DOCE BISTEX 70G;1,50;107,00;7896385006323
PIRULITO 7 BELO FRAMBOESA (50) UN;0,25;91,00;97
PIRULITO AMOR AMOR SORTIDO (24);0,30;113,00;21
PIRULITO ARCOR BIG BIG MORANGO C/CHICLE (50);0,25;193,00;2
PIRULITO ARCOR BIG BIG TUTTI FRUTTI C/ CHICLE (50);0,25;98,00;3
PIRULITO ARCOR TORTUGUITA CHOCOLATE 12G;1,00;56,00;7898142862159
PIRULITO DORI IOGURTE 100 ORIGINAL REDONDA UN;0,25;100,00;159
PIRULITO DORI YOGURTE 100 ORIGINAL UN (50);0,30;548,00;7896058510553
PIRULITO FLORESTAL PAPAI NOEL;0,20;50,00;0055
PIRULITO FLORESTAL PICOLE NAPOLITANO (50);0,25;43,00;7896321014825
PIRULITO FLORESTAL PIMBOLAO MORANGO (26UN);0,30;16,00;141
PIRULITO NEUGEBAUER BEIJA CORAÇAO (48);0,20;46,00;89
PIRULITO PCT FLORESTAL FLOPITO FRUTAS 400G (50);5,25;1,00;7896321004239
PIRULITO PECCIN BAT BAT CORAÇAO PAC (50UNID);10,60;1,00;7896306612701
PIRULITO PECCIN BAT BAT SABORES  (50);0,25;149,00;106
PIRULITO PECCIN BAT MINI CORAÇAO (50);4,58;2,00;7896306608766
PIRULITO PECCIN MAÇA DO AMOR C/RECHEIO MAÇA UN (24;0,35;48,00;150
PIRULITO UN FLORESTAL PATATI PATATA T.FRUTTI;0,20;41,00;7
PLETS CANELA UN;0,20;95,00;305
PLETS HORTELA UN;0,20;92,00;306
PLETS MENTOL UN;0,20;96,00;307
PLETS TUTTI FRUTI UN;0,20;86,00;308
PRESTIGIO DARK NESTLE 33G;1,60;19,00;7891000118580
PRESTIGIO NESTLE 33G;1,45;155,00;7891000460207
REFEIÇAO NEUGEBAUER 9G;0,60;771,00;78929357
REFEIÇAO NEUGEBAUER CX C/50UN;20,50;2,00;7891330000104
REGALIZ FINI TUBES MORANGO 20G;1,10;11,00;7898279799823
sobra;2,50;33,00;61
STIKADINHO MORANGO;0,75;752,00;78929340
SUFLAIR NESTLE 30G;1,40;61,00;7891000063064
TETE BEL MORANGO C/ CHOCOLATE;0,50;20,00;0056
TIC TAC PASTILHA DE FRUTAS 16G;1,70;62,00;78934696
TIC TAC PASTILHA DE HORTELA 16G;1,70;17,00;78935587
TIC TAC PASTILHA DE LARANJA 16G;1,70;49,00;78600027
TIC TAC PASTILHA DE MENTA 16G;1,70;76,00;78600010
TIC TAC PASTILHA DE MORANGO 16G;1,70;36,00;78605831
TOP LINE CLICK FRESH HORTELA 6,7G;1,00;20,00;78928411
TOP LINE CLICK FRESH TUTTI FRUTI;1,00;20,00;78928428
TOP LINE HORTELA;1,00;185,00;78923003
TOP LINE MELANCIA E MELAO;1,00;17,00;78927346
TOP LINE MENTA;1,00;193,00;77916426
TOP LINE MORANGO;1,00;27,00;78913578
TOP LINE TUTTI FRUTI;1,00;78,00;77916389
TRENTO WAFER CHOC.BRANCO 32G (16);1,25;10,00;7896306616389
TRENTO WAFER CHOCOLATE 32G (16);1,25;74,00;7896306612817
TRIDENT FRESH INTENSE 8G;1,75;20,00;7895800911150
TRIDENT HORTELA  8G;1,75;56,00;7895800304211
TRIDENT MELANCIA 8G;1,75;99,00;7895800309780
TRIDENT MENTA 8G;1,75;163,00;7895800304228
TRIDENT MORANGO;1,75;146,00;7895800480502
TRIDENT TUTTI FRUTTI;1,75;105,00;7895800481004
VIBE PECCIN FRESH MIX 35,1G;1,10;5,00;7896306615696
VIBE PECCIN FRUIT MIX 35,1G (16);1,10;10,00;7896306614163
WAFER CASAREDO NEO CHOCOLATE/BAUNILHA 100G;1,95;32,00;7896408441568
WAFER ISABELA CHOC/CEREJA 145G;1,99;14,00;7896022056278
WAFER ROLINHO PARATI BRIGADEIRO 40G;2,50;3,00;7896011106083
WAFER ROLINHO PARATI CHOC/LEITE 40G;2,50;5,00;7896011105673
WAFER ROLINHO PARATI CHOCOLATE 50G;2,50;8,00;7896011104157
X CLE DOCILE SACHE T.FRUTI 11G;0,90;76,00;7896451903211
APRESUNTADO DALIA (DELETAR);13,22;25,21;000014
APRESUNTADO EXCELSIOR;18,53;3,63;110
APRESUNTADO SADIA;13,90;75,88;000013
APRESUNTADO SEARA;16,90;266,65;000075
AZEITE DE OLIVA LACASUELA 500ML;9,85;3,00;5602075321025
BACON SCHENDER DEFUMADO KG;21,00;6,04;000030
CALABRESA DALIA TRIPA RETA;13,25;2,38;000089
COSTELINHA GODOY DEFUMADA A VACUO;29,95;2,16;000099
EMPANADO FRANGO  PERDIGAO 100G 27UN;1,10;31,00;7891515975920
EMPANADO FRANGO EXCELSIOR 100G;1,10;88,00;7896610945021
EMPANADO FRANGO SADIA 100G (30UN);1,25;139,00;7891515442811
EMPANADO FRANGO SADIA 100G (30UN);1,38;49,00;7891515474737
EMPANADO FRANGO SADIA 120G;0,00;341,00;7893000007130
EMPANADO FRANGO SEARA 100G 28UN;1,00;253,00;7894904003495
EMPANADO PRESUNTO E QUEIJO PERDIGAO 125G 24UN;4,45;39,00;7891515863678
FIAMBRE EXCELSIOR C/PICLES KG;14,80;8,84;000161
FIAMBRE LANGUIRU CENOURA PICLES E QUEIJO;2,75;62,00;7896648624912
HAMBURGUER EXCELSIOR 56G (36UN);0,65;8,00;7894904956708
HAMBURGUER PERDIGAO BOVINO 90G C/1UN 36CX;1,31;186,00;7891515879716
HAMBURGUER PERDIGAO BOVINO/FRANGO 56G C1UN 36CX;0,76;121,00;7891515989408
HAMBURGUER PERDIGAO FRANGO 56G  C2UN 18CX;1,28;18,00;7891515989415
HAMBURGUER SEARA TEXAS 56G (36UN);0,75;162,00;7894904500383
HAMBURGUER SEARA TEXAS 90G (36);1,25;37,00;7894904687992
LINGUICA CALABRESA EXCELSIOR GROSSA 320G;6,48;4,00;7896610904356
LINGUIÇA CALABRESA EXELSIOR 400G;7,98;8,00;7896610944215
LINGUIÇA CALABRESA LANGUIRU DEFUMADA 300G;5,71;85,00;7896648620556
MOELA LANGUIRU MIUDOS KG;7,50;15,22;000038
MORCELA SCHENDER BRANCA/PRETA KG;9,95;4,43;000101
MORTADELA DALIA  500G;3,20;41,00;732783038238
MORTADELA EXCELSIOR C/TOUCINHO KG;7,90;355,89;000011
MORTADELA EXCELSIOR DE FRANGO LIGHT 180G;3,05;52,00;7896610908057
MORTADELA EXCELSIOR DE FRANGO LIGHT 300G;4,45;23,00;7896610907135
MORTADELA EXCELSIOR DEFUMADA 180G;3,35;8,00;7896610908095
MORTADELA EXCELSIOR DEFUMADA KG;16,30;22,28;000124
MORTADELA EXCELSIOR S/TOUCINHO 500G;3,98;128,00;7896610903106
MORTADELA PERDIGAO BOLOGNELLA 200G 21CX;3,90;83,00;7891515775636
MORTADELA PERDIGAO OURO C/TOUCINHO 200G;3,85;7,00;7891515434311
MORTADELA PERDIGAO S/TOUCINHO 500G;3,50;8,00;7891515974510
MORTADELA SADIA DEFUMADA 180G;3,55;3,00;7893000035348
MORTADELA SADILAR  1KG;6,15;3,00;7893000340107
MORTADELA SEARA DEFUMADA  200G;3,60;11,00;7894904729173
MORTADELA SEARA DEFUMADA KG;22,20;63,24;000016
MORTADELA TUBO EXCELSIOR C/TOUCINHO 9KG;5,90;18,00;7896610908330
MORTADELA TUBO EXCELSIOR CALABRESA 400G;4,15;9,00;7896610931307
MORTADELA TUBO EXCELSIOR S/TOUCINHO 9KG;5,90;18,00;7896610908415
NUGGETS SADIA FRANGO 300G (16);6,90;32,00;7893000949355
PAO DE CARNE SCHENDER;25,90;0,98;000015
PATE COQUEIRO ATUM 170G;6,75;3,00;7894321841014
PATE DALIA GALINHA 100G;1,45;22,00;732783090052
PATE DALIA PRESUNTO 100G;1,45;15,00;732783090021
PATE EXCELSIOR BACON/SUINO 100G;1,65;42,00;7896610906121
PATE EXCELSIOR FIGADO 100G;1,65;13,00;7896610905742
PATE EXCELSIOR FRANGO 250G;3,25;39,00;7896610902567
PATE EXCELSIOR PERU LIGHT 100G;1,65;10,00;7896610906114
PATE EXCELSIOR PRESUNTO 100G;1,65;314,00;7896610905902
PATE EXCELSIOR PRESUNTO 250G;3,25;4,00;7896610902642
PATE LANGUIRU C. SUINA C/ BACON 100G;1,45;4,00;7896648620341
PATE LANGUIRU FIGADO DE FRANGO 100G;1,45;3,00;7896648620358
PATE LANGUIRU FRANGO 100G;1,45;5,00;7896648628316
PATE LANGUIRU FRANGO C/ERVAS FINAS 100G;1,45;2,00;7896648620365
PATE LANGUIRU PRESUNTO 100G;1,45;3,00;7896648628415
PEITO DE FRANGO DEFUMADO EXCELSIOR;22,50;14,90;000046
PRESUNTO PERDIGAO COZIDO;16,90;19,44;000197
PRESUNTO SADIA COZIDO;16,90;67,05;000097
PRESUNTO SEARA COZIDO;15,90;42,61;000109
SALAME TIPO ITALIANO MAJESTADE 100G;5,40;1,00;7897329200029
SALAME TIPO ITALIANO SANTA CLARA 100G;5,40;2,00;7896504302107
SALSICHA EXCELSIOR DOGUINHO 320G;4,10;80,00;7896610900518
SALSICHA EXCELSIOR HOT DOG 400G;4,95;12,00;7896610900945
SALSICHA EXCELSIOR SUPER DOG 800G;8,05;1,00;7896610902802
SALSICHA NAT GRANEL;5,90;18,00;000021
SALSICHA SEARA P.BRANCA GRANEL;7,80;448,59;000020
SALSIÇHAO GODOES;14,90;34,86;000100
SALSICHAO LANGUIRU FRANGO 1KG;11,50;2,00;7896648621966
SALSICHAO LANGUIRU SUINO 1Kg;14,25;59,00;7896648620495
TIRINHAS DE FRANGO PERDIGAO 300G;5,20;13,00;7891515893460
BUCHA SANTA CLARA VEGETAL P/BANHO;4,50;11,00;7897169203129
CONJ FIONA PENTE ESCOVA ROSA;16,90;2,00;7896033241519
ESCOVA BANHO CONDOR REF 6090;15,33;1,00;7891055520017
ESCOVA CABELO CONDOR CARMIM REF 9640;45,92;1,00;7891055672709
ESCOVA CABELO CONDOR GLORIA REF 9520;34,95;2,00;7891055695500
ESCOVA CABELO CONDOR JULIA REF 6887 UN;10,60;1,00;7891055688724
ESCOVA CABELO CONDOR SHANA PROFISIONAL REF 6826;24,85;1,00;7891055696507
ESCOVA CABELO CONDOR SHANA REF 6821;12,90;1,00;7891055682128
ESCOVA CABELO CONDOR XUXA REF6875;21,70;2,00;7891055687529
ESCOVA CABELO ESCOBEL QUADRADA REF 724;12,80;2,00;7898923148724
ESCOVA CABELO ESCOBEL REF 731;12,80;2,00;7898923148731
ESCOVA CABELO ESCOBEL REF 748;12,80;1,00;7898923148748
ESCOVA CABELO HEDERA MADEIRA REDONDA REF 107;9,80;1,00;7898556122955
ESCOVA CABELO HEDERA OVAL REF.102;15,75;1,00;7898556122900
ESCOVA CABELO HEDERA OVAL REF.105;12,75;4,00;7898556122931
ESCOVA CABELO HEDERA QUADRADA REF 119;18,61;1,00;7898556124348
ESCOVA CABELO HEDERA QUADRADA REF.:104;12,75;2,00;7898556122924
ESCOVA CABELO HEDERA QUADRADA REF.103;14,60;1,00;7898556122917
ESCOVA DENTAL CONDOR AD+INF  2UN;1,50;4,00;7891055803004
ESCOVA DENTAL CONDOR PLUS MACIA;2,35;8,00;7891055337301
ESCOVA DENTAL GREEN FUTURE MEDIA;2,80;5,00;7898934930134
ESCOVA DENTAL GREEN INFANTIL;3,50;2,00;7898934930059
ESCOVA DENTAL ORAL B 1 2 3 media;3,50;36,00;3014260833176
ESCOVA DENTAL ORAL B INDICATOR N1;11,48;2,00;7891051037632
ESCOVA DENTAL SANIFILL LEVE 2 PG 1 MACIA;6,99;4,00;7896114312367
ESCOVA P/ UNHAS CONDOR;2,98;19,00;7891055500903
ESCOVA SANITARIA CONDOR C/ SUPORTE R.6106;8,40;1,00;7891055610602
ESCOVA SANITARIA CONDOR R.6120;5,15;1,00;7891055610404
ESCOVA SANITARIO INCAVAS C/SUPORTE;6,80;5,00;7896230900202
ESCOVA SAPATO CONDOR UN;6,45;3,00;7891055525104
ESPONJA BANHO CONDOR B BANHO C/ CORDAO UN;5,85;2,00;7891055521618
ESPONJA BANHO CONDOR B.BANHO UN;3,10;2,00;7891055521410
ESPONJA TINIDO M.USO L4 P3;2,15;10,00;7891040198726
FIO DENTAL DENTAL CLEAN 130M;4,75;2,00;7898185411413
FIO DENTAL DENTIL 100M;3,85;29,00;7896269621192
FIO DENTAL ORAL B PRO 25M;4,40;4,00;7804950189012
PENTE CONDOR ESSENCIAL REF A-8 C/1UN;2,99;7,00;7891055139516
PENTE DE BOLSO ESCOBEL C/3UN;1,50;4,00;7898923148342
PENTE ESCOBEL PROFISSIONAL REF 81;1,45;1,00;7898923148441
PINCEL BARBA SANTA CLARA REF:407 1UN;3,45;2,00;7897169204072
AMIDO DE MILHO ALBER 200G;1,90;20,00;7896414601383
AMIDO DE MILHO ALBER 500G;1,90;7,00;7896414603011
AMIDO DE MILHO FRITZ & FRIDA 200G;1,99;35,00;7890300147627
AMIDO DE MILHO FRITZ & FRIDA 500G;3,95;92,00;7890300147634
AMIDO DE MILHO MAIZENA 200G;4,98;12,00;7894000010014
AMIDO DE MILHO YOKI 500G;5,10;6,00;7891095003570
AVEIA FLOCOS VIDA & SAUDE 250G;2,49;28,00;7898921864220
AVEIA FLOCOS YOKI 200G;2,75;2,00;7891095019885
AVEIA FLOCOS YOKI FINO 200G;2,75;4,00;7891095019878
BOLINHO DE CHUVA YOKI TRADICIONAL 250G;4,25;8,00;7891095001262
FARINHA CENTEIO VIDA & SAUDE 1KG;4,90;3,00;7898921864121
FARINHA DE LINHAÇA VIDA E SAUDE 250G;4,75;7,00;7898921864374
FARINHA DE MANDIOCA;0,00;92,00;7890300398968
FARINHA DE MANDIOCA ARARUMA 500G;1,57;1,00;7896431000053
FARINHA DE MANDIOCA FRITZ & FRIDA TORRADA 500G;2,99;15,00;7890300106365
FARINHA DE MILHO FRITZ & FRIDA MEDIA 1KG;3,10;52,00;7890300089170
FARINHA DE ROSCA FRITZ & FRIDA 500G;4,06;40,00;7890300096444
FARINHA DE TRIGO ROSA BRANCA 1KG;2,15;62,00;7892020200095
FARINHA DE TRIGO ROSA BRANCA 5KG;9,85;27,00;7892020200156
FARINHA INTEGRAL DE TRIGO VIDA & SAUDE 1KG;4,35;2,00;7898921864176
FARINHA LACTEA NESTLE SACHE 210G;8,90;2,00;7891000099032
FARINHA LACTEA YOKY 230G;5,56;6,00;7891095015405
FARINHA NORDESTE 1KG;2,69;388,00;7896021810017
FARINHA NORDESTE 5KG;12,98;167,00;7896021810055
FARINHA NORDESTE AMARELO 5KG;10,40;16,00;7896021822461
FARINHA NORDESTE CENTEIO 1KG;2,90;3,00;7896021821426
FARINHA NORDESTE INTEGRAL 1KG;3,90;23,00;7896021821433
FAROFA DE MILHO YOKI TEMPERADA ZERO 500G;5,58;21,00;7891095200993
FAROFA FINKLER TEMPERADA 300G;2,90;4,00;7896872006140
FAROFA PRONTA FRITZ & FRIDA 250G;2,67;43,00;7890300314784
FAROFA PRONTA YOKI 250G;3,59;27,00;7891095005895
FAROFA PRONTA YOKI 500G;5,75;3,00;7891095300488
FAROFA PRONTA YOKI SUAVE 250G;3,59;24,00;7891095301065
MISTURA BOLO NORDESTE BAUNILHA 400G;0,00;4,00;7896021810161
MISTURA BOLO NORDESTE CHOCOLATE 400G;2,45;14,00;7896021810147
MISTURA BOLO NORDESTE LARANJA 400G;2,45;16,00;7896021810123
PAO DE QUEIJO CALDO BOM STIVAL 250G;5,45;4,00;7896273900993
PAO DE QUEIJO EXCELSIOR 400G;4,59;26,00;7896610909993
PAO DE QUEIJO PERDIGAO 4010G;6,60;8,00;7891515920104
PAO DE QUEIJO YOKI 250G;4,99;32,00;7891095300808
POLENTA FRITZ & FRIDA 500G;1,75;7,00;7890300158555
POLENTA YOKI KIPOLENTA 500G;3,25;15,00;7891095200207
POLENTA YOKI PRONTA 1KG;6,98;8,00;7891095200214
POLENTINA QUAKER INSTANTANEO 500G;2,85;3,00;7894321631011
POLVILHO FRITZ & FRIDA AZEDO 500G;4,47;8,00;7890300117989
POLVILHO FRITZ & FRIDA DOCE 500G;3,98;13,00;7890300119082
PROTEINA DE SOJA VIDA E SAUDE 250GR;4,05;4,00;7898921864206
REGULADOR INTESTINAL VIDA & SAUDE 250G;3,40;6,00;7898921864282
TAPIOCA YOKI 500G;6,65;4,00;7891095300648
FEIJAO CARIOCA FRITZ & FRIDA 1KG;15,90;69,00;7890300119761
FEIJAO CARIOCA FRITZ & FRIDA 500G;3,78;7,00;7890300147009
FEIJAO PRETO FINKLER 1KG;3,68;17,00;7896872006287
FEIJAO PRETO FRITZ & FRIDA 1KG;8,95;300,00;7890300155929
FEIJAO VERMELHO CALDO BOM 500G;5,95;6,00;7896273902928
FEIJAO VERMELHO FRITZ & FRIDA 500G;6,30;14,00;7890300379349
FERMENTO BIOLOGICO ALBER 125G;4,15;3,00;7896414601901
FERMENTO BIOLOGICO GOOD INST.125G;5,20;8,00;7898171880018
FERMENTO QUIMICO FLEISCHMANN 100G;1,95;4,00;7898409951046
FERMENTO QUIMICO GOOD INSTANTANIO 11G;0,50;122,00;7898171880063
FERMENTO ROYAL 100G;2,65;101,00;7622300119621
FOSFORO FIAT LUX COZINHA 240 UN;3,25;21,00;7896007941636
FOSFORO FIAT LUX LONGOS C/6UN;2,95;16,00;7896007902217
FOSFORO GABOARDI C/10 CAIXAS;2,20;49,00;7896279200103
FOSFORO GABOARDI COZINHA 200PT;1,75;35,00;7896279200011
FRALDA MONICA HUGGIES G C/18UN;21,90;1,00;7896007546763
FRALDA MONICA HUGGIES XG / XXG C/16UN;21,90;1,00;7896007546770
FRALDA MONICA T.PROTEÇAO JUMBINHO G C/20UN;21,50;4,00;7896007543915
FRALDA MONICA T.PROTEÇAO JUMBINHO M C/24UN;21,50;1,00;7896007543908
FRALDA MONICA T.PROTEÇAO JUMBINHO P C/28UN;21,50;3,00;7896007543892
FRALDA MONICA T.PROTEÇAO JUMBINHO XG C/16UN;21,50;4,00;7896007543922
FRALDA PAMPERS SUPERSEC C/8UN GRANDE;8,90;10,00;7501007498706
FRALDA PAMPERS TOTAL CONFORT C/20UN G;27,82;1,00;7501006745078
FRALDA PAMPERS TOTAL CONFORT C/24UN M;27,82;2,00;7501006745061
FRALDA PAMPERS TOTAL CONFORT C/28UN P;27,82;1,00;7501006745054
FRALDA POM POM COLO DE MAE MEDIA C/24UN;22,46;7,00;7896012877920
FRALDA POM POM COLO DE MAE PEQ C/28UN;22,46;8,00;7896012877913
FRALDA POM POM JUMBO G C/26UN;22,46;13,00;7896012800423
FRALDA POM POM JUMBO M C/30UN;22,46;8,00;7896012800416
FRALDA POM POM JUMBO P C/34UN;22,46;2,00;7896012877456
FRALDA POM POM JUMBO XG C/22UN;22,46;8,00;7896012800430
FRALDA POM POM PROTEK SXG C/12;22,46;1,00;7896012800393
FRALDA POM POM PROTEK XG C/14UN;22,46;1,00;7896012800386
AMEIXA PRETA VIDA & SAUDE 250G;9,99;13,00;7898921864145
AMEIXA SECA JOHANN S/CAROÇO 1KG;24,86;2,00;7898944815025
DAMASCO VIDA & SAUDE 100G;6,60;1,00;7898921864503
PASSAS DE UVA PRETA LUAR SUL 150G;4,08;1,00;7897890871703
PASSAS DE UVA PRETA VIDA & SAUDE 250G;5,40;6,00;7898921864237
BRIGADEIRO MOÇA FIESTA 385G;6,96;9,00;7891000155806
DOCE AUREA ABOBORA C/COCO 1KG;9,80;11,00;7896180700518
DOCE AUREA ABOBORA C/COCO 400G;3,98;7,00;7896180784075
DOCE AUREA AMEIXA 400G;4,15;5,00;7896180784082
DOCE AUREA FIGO 1KG;7,99;18,00;7896180700464
DOCE AUREA FIGO 400G;4,15;4,00;7896180784112
DOCE AUREA GOIABA 1KG;9,80;4,00;7896180700419
DOCE AUREA GOIABA 400G;3,98;27,00;7896180784129
DOCE AUREA MORANGO 1KG;7,99;33,00;7896180700488
DOCE AUREA MORANGO 400G;4,15;9,00;7896180784143
DOCE AUREA UVA 400G;4,15;10,00;7896180784167
DOCE BOM PRINCIPIO ABACAXI 400G;4,58;4,00;7897500600808
DOCE BOM PRINCIPIO ABOBORA C/COCO 400G;3,98;8,00;7897500600815
DOCE BOM PRINCIPIO FIGO 400G;3,98;9,00;7897500600846
DOCE BOM PRINCIPIO MAMAO 400G;3,98;9,00;7897500601058
DOCE DE LEITE AUREA (SORO) 4,8KG;24,35;1,00;7896180710029
DOCE DE LEITE AUREA 400G;3,75;27,00;7896180783856
DOCE DE LEITE AUREA CLASSICO 390G;5,75;107,00;7896180783726
DOCE DE LEITE AUREA COM CHOCOLATE 400G;3,20;6,00;7896180783757
DOCE DE LEITE BOM PRINCIPIO 0 % GORDURA 400G;6,39;3,00;7897500601904
DOCE DE LEITE BOM PRINCIPIO 400G;5,20;3,00;7897500600266
DOCE DE LEITE FRITZ & FRIDA 400G;4,95;2,00;7890300143797
DOCE DE LEITE LANGUIRU 400G;4,90;18,00;7896648650768
DOCE DE LEITE MU MU 400G;5,40;34,00;7891110451027
DOCE DE LEITE SANTA CLARA BALDE 4,8KG;44,80;2,00;7896504301216
DOCE E.GAUCHA ABOBORA 400G;3,40;5,00;7898922794014
DOCE E.GAUCHA PESSEGO 400G;3,40;6,00;7898922794076
DOCE FRITZ & FRIDA GOIABA 400G;3,20;5,00;7890300201862
DOCE FRITZ & FRIDA LIGHT UVA 250G;3,15;1,00;7890300216606
DOCE VINOLAR FIGO 280G;3,98;4,00;7898409402579
GELEIA AUREA FRUTAU UVA 390G;5,50;6,00;7896180784211
GOIABADA AUREA 400G;3,98;20,00;7896180780466
GOIABADA AUREA C/POLPA DE FRUTA 300G;3,70;17,00;7896180785256
GOIABADA BOM PRINCIPIO 400G;3,15;5,00;7897500601508
GOIABADA FUGINI 400G;3,78;4,00;7891042101243
GOIABADA VAL 300G;2,25;3,00;7898045700336
MAIONESE HELLMANNS PT 500G;6,95;3,00;7894000050034
AMENDOIM FINKLER DESCASCADO 500G;3,95;1,00;7896872005518
AMENDOIM FRITZ & FRIDA 500G;6,25;3,00;7890300185155
AMENDOIM FRITZ & FRIDA BRANCO 500G;3,69;26,00;7890300270639
AMENDOIM MERTZ 1KG;10,90;129,00;7898210381049
CANJICA FRITZ & FRIDA  AMARELA 500G;1,59;7,00;7890300026250
CANJICA YOKI BRANCA 500G;2,98;11,00;7891095100293
GERGELIM VIDA E SAUDE S/CASCA 250G;9,05;7,00;7898921864169
LENTILHA CALDO BOM 500G;8,65;12,00;7896273900320
LENTILHA FRITZ & FRIDA  500G;8,59;198,00;7890300000465
LENTILHA ZAELI 500G;7,99;6,00;7896183900847
LINHAÇA VIDA & SAUDE 250G;3,38;5,00;7898921864152
PIPOCA FRITZ & FRIDA PREMIUM  500G;2,59;50,00;7890300004302
PIPOCA MICRO CARTOON MANTEIGA 100G;2,05;6,00;7896011125978
PIPOCA MICRO CARTOON NATURAL 100G;2,05;2,00;7896011125961
PIPOCA MICRO ELMA CHIPS POPCORN NATURAL 80G;2,25;1,00;7892840235147
PIPOCA MICRO FRITZ & FRIDA  BACON 100G;2,25;4,00;7890300221358
PIPOCA MICRO FRITZ & FRIDA CHOCOLATE 100G;2,25;3,00;7890300221341
PIPOCA MICRO FRITZ & FRIDA MANTEIGA 100G;2,25;4,00;7890300159910
PIPOCA MICRO FRITZ & FRIDA NATURAL 100G;2,25;14,00;7890300221334
PIPOCA MICRO FRITZ & FRIDA NATURAL C/SAL 100G;2,25;10,00;7890300159934
PIPOCA MICRO FRITZ & FRIDA QUEIJO 100G;2,25;1,00;7890300140369
PIPOCA MICRO YOKI BACON 100G;2,49;1,00;7891095100729
PIPOCA MICRO YOKI BACON 100G DELETAR;2,49;1,00;7896273902669
PIPOCA MICRO YOKI C/COBERTURA DE MANTEIGA 130G;3,59;3,00;7891095015306
PIPOCA MICRO YOKI CARAMELO 160G;3,59;7,00;7891095015290
PIPOCA MICRO YOKI CHOCOLATE 160G;3,59;6,00;7891095017553
PIPOCA MICRO YOKI MANTEIGA 100G;2,49;5,00;7896273901013
PIPOCA MICRO YOKI MANTEIGA DE CINEMA 100G;2,49;7,00;7891095008452
PIPOCA MICRO YOKI MANTEIGA SUAVE 100G;2,49;4,00;7891095101719
PIPOCA MICRO YOKI MOSTARDA ALEMA C/SACHE 100G;3,59;3,00;7891095021437
PIPOCA MICRO YOKI NATURAL 100G;2,49;11,00;7891095100125
PIPOCA MICRO YOKI NATURAL C/SAL;2,49;11,00;7891095002207
PIPOCA MICRO YOKI PIZZA 100G;2,49;2,00;7896273903208
PIPOCA MICRO YOKI QUEIJO 100G;2,49;1,00;7896273902676
PIPOCA MICRO YOKI T.CHEF 100G;2,49;3,00;7891095006274
PIPOCA YOKI 500G;2,85;15,00;7891095002672
PIPOCA YOKI PREMIUM 500G;3,25;44,00;7891095006984
SAGU CORSETTI 500G;3,95;11,00;7896274103515
SAGU FRITZ & FRIDA 500G;3,85;62,00;7890300000564
SAGU PRATA OLINDA 500G;3,59;1,00;7896798500616
SEMENTE CHIA VIDA E SAUDE 100GR;5,40;8,00;7898921864664
GUARDANAPO DE PAPEL BOB 20X23CM 60 PG 50UN;1,25;274,00;7896089403022
GUARDANAPO DE PAPEL BOB 30X30CM 50UN;2,25;153,00;7896089404074
LENÇOS KLEENEX C/10UN;1,50;37,00;7891172171666
LENÇOS UMEDECIDO BABY POPPY PREMIUM C/100UN;11,20;1,00;7896010100297
LENÇOS UMEDECIDO BABY WIPES C/48UN;5,90;28,00;7896018703063
LENÇOS UMEDECIDO ISABABY C/70UN;3,48;15,00;7898936110220
LENÇOS UMEDECIDO LILLO BABY C/50UN;7,75;1,00;7896033270076
LENÇOS UMEDECIDO TOP COTTON  AZUL C/400UN;12,89;1,00;7898095297596
LENÇOS UMEDECIDO TOP COTTON  ROSA 400UN;12,89;3,00;7898095297602
LENÇOS UMEDECIDO TOP COTTON PT AZUL 70UN;3,49;2,00;7898095296452
LENÇOS UMEDECIDO TOP COTTON PT ROSA 70UN;3,49;2,00;7898095296476
PAPEL TOALHA BOB 20X22CM 60UN;3,98;103,00;7896089402025
PAPEL TOALHA CLARYS 20CX22CM 50UN;3,55;128,00;7896089404708
PAPEL TOALHA MILI 20CMX20CM C/2UN;4,20;2,00;7896104998724
PAPEL TOALHA SNOB 19CMX22CM 2X50UN;4,25;6,00;7896110061122
